A_New_Hope,  seg_Dur ,     4310,     3856,     3006,     2349,     1748,     1044,      744,      553,      369,      231
        92,    4.000 ,  3288472,  3002056,  2263097,  1875621,  1374926,   924773,   675159,   538786,   366446,   240289
        93,    4.000 ,  2063436,  1885889,  1501833,  1218559,   891611,   573517,   411745,   317170,   214449,   134615
        94,    4.000 ,  1520606,  1347259,  1127664,   870479,   654780,   405023,   293816,   227506,   158756,    99829
        95,    4.000 ,  2449167,  2229370,  1766670,  1436483,  1052006,   682694,   491469,   382060,   259189,   166079
        96,    4.000 ,  2602665,  2375157,  1861139,  1517057,  1116065,   718853,   515288,   400677,   270777,   170812
        97,    4.000 ,  2535026,  2309810,  1825837,  1489064,  1113193,   710317,   516956,   399912,   270475,   172797
        98,    4.000 ,  1842456,  1651023,  1347690,  1065987,   784847,   507083,   369340,   282164,   195222,   127361
        99,    4.000 ,  2739917,  2198955,  1486457,   863232,   684354,   215547,   139776,    89193,    58652,    39632
       100,    4.000 ,  3233451,  2890116,  2068911,  1593644,  1177910,   678108,   492801,   369879,   255283,   168284
       101,    4.000 ,  2975341,  2769891,  2163211,  1807576,  1289446,   863067,   634214,   489164,   327711,   211721
       102,    4.000 ,  2597281,  2388563,  1927787,  1592729,  1178801,   772438,   554086,   417790,   276293,   171817
       103,    4.000 ,  2100829,  1827176,  1459266,  1084984,   802110,   426348,   291514,   208666,   134999,    79238
       104,    4.000 ,  2909159,  2644890,  2017533,  1633052,  1175217,   733498,   520777,   392148,   257694,   163878
       105,    4.000 ,  2080285,  1877024,  1461541,  1154970,   834776,   500682,   349142,   259356,   170777,   107585
       106,    4.000 ,  2638662,  2415956,  1978128,  1627286,  1222972,   796889,   583392,   440888,   292435,   178545
       107,    4.000 ,  1804867,  1545521,  1167064,   829678,   609590,   301933,   197841,   140538,    87779,    55235
       108,    4.000 ,  1966305,  1705922,  1308218,   959185,   685263,   340296,   235329,   164496,   106130,    66833
       109,    4.000 ,  2367657,  2114978,  1598220,  1234198,   892444,   508243,   356254,   258782,   176003,   114903
       110,    4.000 ,  2834461,  2522669,  1824849,  1399117,   962532,   525988,   363479,   261527,   174149,   114304
       111,    4.000 ,  1722476,  1533968,  1260840,   974953,   682295,   376928,   241438,   167205,    98964,    59307
       112,    4.000 ,  2242044,  1996488,  1493484,  1153126,   772721,   413260,   260154,   183541,   112808,    68672
       113,    4.000 ,  2359719,  2135830,  1648423,  1323762,   963212,   601542,   420223,   315304,   203644,   128887
       114,    4.000 ,  1541492,  1329850,  1071010,   766905,   556625,   263876,   168197,   103668,    58808,    31469
       115,    4.000 ,  2020735,  1818340,  1440078,  1133587,   889431,   535805,   400451,   294997,   192063,   121750
       116,    4.000 ,  2071300,  1891626,  1556496,  1275777,  1047061,   672975,   506499,   384712,   264673,   162500
       117,    4.000 ,  2130693,  1956771,  1586773,  1302858,  1017843,   668606,   511044,   395770,   273433,   172711
       118,    4.000 ,  1424867,  1260931,  1022630,   788324,   630838,   374389,   269179,   197023,   136523,    84548
       119,    4.000 ,  1875907,  1666242,  1257140,   961448,   729534,   434948,   320132,   236902,   165638,   101405
       120,    4.000 ,  1832030,  1608244,  1220514,   917221,   680633,   389152,   276839,   200401,   143277,    90203
       121,    4.000 ,  1464317,  1314523,  1097575,   860311,   678339,   412861,   295623,   217996,   148066,    90203
       122,    4.000 ,  2044023,  1823747,  1340925,  1013547,   731673,   397208,   283602,   204074,   132764,    80194
       123,    4.000 ,  1897129,  1685799,  1305385,  1008876,   757326,   451434,   311567,   229479,   154508,    96191
       124,    4.000 ,  2704432,  2467377,  1936809,  1586357,  1214416,   767316,   560532,   431735,   295387,   184696
       125,    4.000 ,  2794867,  2534527,  2006382,  1626649,  1196062,   778439,   553747,   422611,   282448,   176432
       126,    4.000 ,  2229844,  1991338,  1568157,  1231530,   904381,   540310,   378161,   281463,   183344,   112486
       127,    4.000 ,  1879745,  1652758,  1310465,   992792,   752528,   436738,   313858,   230605,   154914,    99731
       128,    4.000 ,  2093142,  1889144,  1451777,  1154683,   886561,   564956,   418826,   321396,   224574,   150024
       129,    4.000 ,  2040242,  1780341,  1427647,  1104669,   781748,   449786,   308427,   224783,   146265,    86345
       130,    4.000 ,  2037236,  1809187,  1457703,  1139063,   874422,   527587,   374928,   281042,   187768,   116289
       131,    4.000 ,  2891015,  2619392,  1955923,  1553353,  1143899,   708764,   510903,   385678,   261404,   169810
       132,    4.000 ,  2502267,  2246915,  1629957,  1257823,   881075,   503576,   351372,   250121,   165738,   104878
       133,    4.000 ,  2402673,  2155908,  1588285,  1240795,   902008,   527785,   371483,   277472,   185176,   120764
       134,    4.000 ,  2497694,  2234583,  1731261,  1360354,  1008202,   607332,   425936,   314408,   211807,   132016
       135,    4.000 ,  2207872,  1987162,  1544533,  1216377,   901944,   522520,   384220,   282171,   182605,   114462
       136,    4.000 ,  2057284,  1860399,  1483800,  1183047,   889362,   548193,   399948,   298902,   196251,   123398
       137,    4.000 ,  2188772,  1986873,  1589808,  1284368,   981030,   621834,   457083,   350463,   238445,   152686
       138,    4.000 ,  2689630,  2438695,  1908436,  1532068,  1129903,   708695,   508409,   388713,   265209,   164722
       139,    4.000 ,  2134125,  1926713,  1518588,  1198104,   886555,   544215,   394134,   299656,   205362,   129700
       140,    4.000 ,  2220847,  2007975,  1589744,  1273147,   964601,   604061,   447463,   343557,   231541,   148633
       141,    4.000 ,  2343217,  2088401,  1602494,  1218921,   899567,   510309,   364827,   268540,   176549,   113038
       142,    4.000 ,  1924174,  1708959,  1337412,  1025329,   793106,   468673,   338019,   251954,   172058,   109571
